Product_Name,Brand_Name,Model_Code,Category,Price_THB,Product_URL,Source,Collection_Date,Normalized_Category
แป๊บแบน เคลือบสีรองพื้นกันสนิม,แป๊บแบน,73589245.0,steel,13.64,https://www.onestockhome.com/th/products/26258450/p-coat-rectangular-pipe_paint-coated-pipes_pap-pacific-pipe?item_id=73589245,OneStockHome,2026-04-30,Steel
เหล็กกล่อง แป๊บแบน ความหนาอื่นๆ,OneStockHome,80706861.0,steel,8.41,https://www.onestockhome.com/th/products/63006830/rectangular-pipe_all-rectangular-pipe_onestockhome?item_id=80706861,OneStockHome,2026-04-30,Steel
ท่อเหล็กแบน เคลือบสีกันสนิม สีแดง 4x2 นิ้ว 100x50 มม.,OneStockHome,13250792.0,steel,19.19,https://www.onestockhome.com/th/products/64839136/rectangular-pipe-coated-red-4x2-inches-100x50-mm_p-coat-18cfd6ac-02ea-45b5-b3e8-131d79d2a53f_pap-pacific-pipe?item_id=13250792,OneStockHome,2026-04-30,Steel
เหล็ก WF ไวด์แฟรงค์ SYS PB ทำสีรองพื้นกันสนิม ยาว 6 เมตร,SYS,32247571.0,steel,14075.04,https://www.onestockhome.com/th/products/5850501/wide-flange-wf-primer-bond-budget_wide-flange_sys-primerbond-budget_sys?item_id=32247571,OneStockHome,2026-04-30,Steel
ลวดเชื่อมเหล็ก KOBE LB-52 3.2 มม. 1 กล่อง,OneStockHome,41033405.0,steel,420.56,https://www.onestockhome.com/th/products/6175587/-kobe-lb-52-32--1-_hardware-tools_kobelco?item_id=41033405,OneStockHome,2026-04-30,Steel
เหล็กรางน้ำ SYS PB ทำสีรองพื้นกันสนิม ยาว 6 เมตร,SYS,90798286.0,steel,5256.0,https://www.onestockhome.com/th/products/52591551/channel-primer-bond-budget_channel-steel_sys-primerbond-budget_sys?item_id=90798286,OneStockHome,2026-04-30,Steel
ลวดเชื่อมเหล็ก KOBE LH-2000 2.6มม.,OneStockHome,100056380.0,steel,428.04,https://www.onestockhome.com/th/products/17874988/-kobe-lh-2000-26mm_welding-machine_kobelco?item_id=100056380,OneStockHome,2026-04-30,Steel
ลวดเชื่อมเหล็ก KOBE LH-2000 4 มม. 1 กล่อง,OneStockHome,97415429.0,steel,372.9,https://www.onestockhome.com/th/products/26642519/-kobe-lh-2000-4--1-_welding-machine_kobelco,OneStockHome,2026-04-30,Steel
ลวดเชื่อมเหล็ก KOBE LB-52 2.6มม.,OneStockHome,7840686.0,steel,471.03,https://www.onestockhome.com/th/products/57429850/-kobe-lb-52-26mm_hardware-tools_kobelco,OneStockHome,2026-04-30,Steel
ลวดเชื่อมเหล็ก KOBE LB-52 4 มม. 1 กล่อง,OneStockHome,34926740.0,steel,421.5,https://www.onestockhome.com/th/products/26993088/-kobe-lb-52-4--1-_steel_kobelco,OneStockHome,2026-04-30,Steel
เหล็กไอบีม IB SYS PB ทำสีรองพื้นกันสนิม ยาว 6 เมตร,SYS,30638200.0,steel,4463.1,https://www.onestockhome.com/th/products/86686170/i-beam-primer-bond-budget_i-beam_sys-primerbond-budget_sys?item_id=30638200,OneStockHome,2026-04-30,Steel
เหล็กฉาก SYS PB กันสนิม ทำสีรองพื้นกันสนิม,SYS,20834200.0,steel,2311.2,https://www.onestockhome.com/th/products/25729543/angle-steel-sys-primerbond-budget_angle-steel_sys-primerbond-budget_sys,OneStockHome,2026-04-30,Steel
เหล็ก WF ไวด์แฟรงค์ SYS PB ทำสีรองพื้นกันสนิม ยาว 6 เมตร,SYS,22815742.0,steel,4553.64,https://www.onestockhome.com/th/products/5850501/wide-flange-wf-primer-bond-budget_wide-flange_sys-primerbond-budget_sys,OneStockHome,2026-04-30,Steel
เหล็กเอชบีม HB SYS PB ทำสีรองพื้นกันสนิม ยาว 6 เมตร,SYS,69016181.0,steel,7881.3,https://www.onestockhome.com/th/products/40914022/h-beam-primer-bond-budget_h-beam_sys-primerbond-budget_sys?item_id=69016181,OneStockHome,2026-04-30,Steel
เหล็กฉาก SYS PB กันสนิม ทำสีรองพื้นกันสนิม,SYS,11459023.0,steel,3844.8,https://www.onestockhome.com/th/products/25729543/angle-steel-sys-primerbond-budget_angle-steel_sys-primerbond-budget_sys?item_id=11459023,OneStockHome,2026-04-30,Steel
เหล็กฉาก SYS PB กันสนิม ทำสีรองพื้นกันสนิม,SYS,44496545.0,steel,3218.4,https://www.onestockhome.com/th/products/25729543/angle-steel-sys-primerbond-budget_angle-steel_sys-primerbond-budget_sys?item_id=44496545,OneStockHome,2026-04-30,Steel
